45294/45296,2/0/0/0/0
33664/66577/68153/68929/69104/82119/82119/84594/91185/91190/93596/98132/98135/98241/101658/102847/103480/104728/109825/110427/111908,13/3/0/1/0
27151/65914,0/0/0/2/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
42743,0/0/0/1/0
32016/36437,0/1/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
71460/77876,0/1/0/1/0
37008,0/0/0/1/0
67944/86425/91017/91024,0/0/0/2/0
58363,1/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
62382/75872/83362/90541/94285/95921,1/4/0/1/0
82088/83976/95748/96182/96183/101337/109374/113254/114018/115422/115423/117135/119789,2/2/0/8/0
0,0/0/0/0/0
0,0/0/0/0/0
24119/30187/30188,1/2/0/0/0
64037/77473/77501/94267/102399/110057/110257/110464/110490,2/1/0/3/0
0,0/0/0/0/0
63527/69105/70755/72716/77097/79396/81414/96013,3/1/0/0/0
0,0/0/0/0/0
44191/47596,2/0/0/0/0
52885/59012,0/1/0/1/0
0,0/0/0/0/0
53330,0/0/0/0/0
32037,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
74819,0/0/0/1/0
0,0/0/0/0/0
77253/84179/91509/91510,3/1/0/0/0
28342,1/0/0/0/0
55123/60459/60529,0/0/0/2/0
0,0/0/0/0/0
0,0/0/0/0/0
75772/84427/106171,1/2/0/0/0
55448/59806/64062/65089/68611/68613/102276/110167/110168/115940/128057/130301/130532/132853/132869/132870,2/3/0/7/0
44895/66895/66898,2/0/0/1/0
0,0/0/0/0/0
0,0/0/0/0/0
55806,0/0/0/1/0
70379,0/1/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
60726/102048/110822/119597/127438/127765/129403/129404/129517/129632/137134/139295/139300/140374/140387/141007/141013/141696/147376/150485/151258/151479/151480/151491/151520/151584/155707/157422/159523/159525/160599,14/7/0/5/0
47566/55627,1/0/0/0/0
37512/66975/73108,0/0/0/3/0
57307/61142/61394,1/0/0/1/0
0,0/0/0/0/0
17481/73407/73420/77835/78840/85339/88158/89866/97521/103248/103249/105853,2/4/0/4/0
18390,0/0/0/0/0
20097,0/0/0/1/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
70296/83022/83696/90948/94563/95900/95900,3/2/0/1/0
0,0/0/0/0/0
118290/118790,0/0/0/2/0
39610,0/0/0/1/0
0,0/0/0/0/0
46401/46402,0/0/0/2/0
0,0/0/0/0/0
102501,0/0/0/0/0
0,0/0/0/0/0
77355,0/0/0/0/0
0,0/0/0/0/0
61190/68867/70333,0/0/0/3/0
59270,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
46894,0/1/0/0/0
62524/63746/63751,3/0/0/0/0
84293,0/0/0/0/0
68801,0/0/0/0/0
74682/80899/83656,1/0/0/1/0
0,0/0/0/0/0
0,0/0/0/0/0
38004/41968/69575/69576/69577/77964,3/0/0/2/0
58521/72593,1/0/0/1/0
61292/67153/67155/76095,0/2/0/1/0
0,0/0/0/0/0
0,0/0/0/0/0
38563/40887/51174/66316/66329/66399/66426/70260/70974,5/1/0/0/0
58722,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
74418/84327/84328/84655,3/0/0/1/0
37568,0/1/0/0/0
28718,1/0/0/0/0
49331/49384/73654,0/0/0/3/0
45334/71968/72402/72407/84271/84274/84276,0/1/0/5/0
0,0/0/0/0/0
25301,0/0/0/1/0
0,0/0/0/0/0
10739/10739/10740,0/0/0/3/0
50038/103523/107502/107505/108159/108625,1/1/0/3/0
28922/37396,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
80034/80035/84572/93812,1/2/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
34696/67187/72126/88953/107968/108459,0/0/0/5/0
0,0/0/0/0/0
0,0/0/0/0/0
81411,0/0/0/1/0
62781/62783/62784/64778,3/1/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
45049/92648/96310/101301/112944/112987/123769/123775/132302/132304/133494/136656/141069/141115/150074/160218/164410/164509/165854/169618/170284/172136/172142/173063,6/4/0/11/0
